session_id,date,start,end,hall,venue_key,place,track,track_curator,kind,title,speaker_keys,speaker_slugs,organizer_key
g8-2026-e126,2026-09-11,16:45,17:05,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Mamma mia! Или как делать проекты со страстью,алина абрамова; константин беляков,alina-abramova; konstantin-belyakov,g8
g8-2026-e128,2026-09-11,17:25,,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,disc,"Дискуссия ПРО ФЕСТИВАЛИ. Идеальный десерт: рецепт фестиваля. Где взять деньги на ингредиенты — партнёры, продажи и правда о том, как это работает",михаил шутов; юрий субботин; андрей кадышев; андрей тубольцев; борис альхимович,mihail-shutov; yurii-subbotin; andrei-kadyshev; andrei-tuboltsev; boris-alhimovich,g8
g8-2026-e129,2026-09-11,10:30,11:15,Лекторий,дизайн-завод,Дизайн-завод,Big Picture,,disc,MATE + LAB. Как сэкономить бюджет и продолжать снимать. Гибридный продакшн,аня коновалова; ира лаврова; каролина кириченко; владимир гранкин; марьям ахунова,anya-konovalova; ira-lavrova; karolina-kirichenko; vladimir-grankin; maryam-ahunova,g8
g8-2026-e130,2026-09-11,11:15,12:30,Лекторий,дизайн-завод,Дизайн-завод,Big Picture,,talk,TAKESHOT. Когда AI становится врагом и почему съемка — новый чёрный,,,g8
g8-2026-e131,2026-09-11,12:30,13:45,Лекторий,дизайн-завод,Дизайн-завод,Big Picture,,disc,"BALLPARK. Крафтовые специалисты, которых AI не заменит",тигран бежанов; марат адельшин; юлия фролова-митирева; федор савельев,tigran-bezhanov; marat-adelshin; yuliya-frolova-mitireva; fedor-savelev,g8
g8-2026-e132,2026-09-11,13:45,15:00,Лекторий,дизайн-завод,Дизайн-завод,Big Picture,,disc,БЮРО «РАБОЧЕЕ НАЗВАНИЕ». Новая архитектура рекламного производства: все делают всё,игорь сайфуллин; аня никич; максим ежов; вася губин; виталий урезченко,igor-saifullin; anya-nikich; maksim-ezhov; vasya-gubin; vitalii-urezchenko,g8
g8-2026-e134,2026-09-11,15:30,15:50,Лекторий,дизайн-завод,Дизайн-завод,Клуб,,talk,"Креативный директор без команды — реально ли презентовать, придумывать идеи в одиночку? Как это помогает бизнесу и помогает ли?",анастасия харитонова,anastasiya-haritonova,g8
g8-2026-e135,2026-09-11,15:50,16:10,Лекторий,дизайн-завод,Дизайн-завод,Клуб,,talk,Новые форматы взаимодействия с аудиторией на примере кейсов с Пятёрочкой,роман ступин,roman-stupin,g8
g8-2026-e136,2026-09-11,16:10,16:30,Лекторий,дизайн-завод,Дизайн-завод,Клуб,,talk,"Не урезать, а переосмыслить: как кризис меняет бренд-коммуникации в эпоху новой экономии",анна левант,anna-levant,g8
g8-2026-e137,2026-09-11,16:30,16:50,Лекторий,дизайн-завод,Дизайн-завод,Клуб,,talk,Никого не увольняют за скучную рекламу. Почему рынок системно выбирает посредственность,виктор донюков,viktor-donyukov,g8
g8-2026-e138,2026-09-11,16:50,17:10,Лекторий,дизайн-завод,Дизайн-завод,Клуб,,talk,Как работать с госкомпаниями и быть счастливым,иван черкалов,ivan-cherkalov,g8
